"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern"
"1","C","Lichtenhagen",7888,49.2,22.1,28.1,15.9
"2","K","Kröpeliner-Tor-Vorstadt",13124,66.8,44.9,9.8,12.9
"3","Q","Dierkow-Ost",526,25.5,8.2,49.3,15.6
"4","D","Groß Klein",7364,51,21.8,22.8,16.6
"5","T","Gehlsdorf",1959,30.7,13.6,22.8,24.3
"6","H","Reutershagen",10713,52,22.9,32.6,14.3
"7","G","Schmarl",4907,48.8,23.8,22.8,18.5
"8","M","Biestow",1301,27.8,4.7,52.5,19.7
"9","N","Stadtmitte",11190,55.9,34.7,13.6,18.1
"10","S","Toitenwinkel",7814,55,25.8,14.8,17.3
"11","O","Brinckmansdorf",3726,26.9,12.1,29.1,24.2
"12","E","Lütten Klein",10698,58.2,17.7,38,11.9
"13","I","Hansaviertel",5172,56.6,34.7,22,14.7
"14","U","Rostock-Ost",577,27,21.2,21.8,20.3
"15","L","Südstadt",8760,59.1,17.1,42.2,10.4
"16","F","Evershagen",9222,49.6,25.7,29.9,16.2
"17","R","Dierkow-West",542,27.7,6,42.7,16.4
"18","P","Dierkow-Neu",6589,57.7,26.6,15.4,15.8
"19","A","Warnemünde",4759,46.6,7.6,44.7,11.1
"20","B","Rostock-Heide",924,42.3,11,29.7,12.2
"21","J","Gartenstadt-Stadtweide",1293,27.1,15.4,33.6,25.7
