"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern"
"1","C","Lichtenhagen",7931,49.5,21,29.6,15.8
"2","K","Kröpeliner-Tor-Vorstadt",13112,66.4,43.2,10.1,12.9
"3","Q","Dierkow-Ost",522,26.4,11.6,50,15.9
"4","D","Groß Klein",7405,50.7,21,24.4,16.8
"5","T","Gehlsdorf",2003,32.2,10.7,24.1,24.1
"6","H","Reutershagen",10744,53,22.4,32.6,14.3
"7","G","Schmarl",4938,49.8,22.8,23.2,18.3
"8","M","Biestow",1312,28.2,6.2,51.9,19.1
"9","N","Stadtmitte",11274,55.3,33.3,14.6,18.8
"10","S","Toitenwinkel",7923,55.4,24.5,15,17.4
"11","O","Brinckmansdorf",3786,27.6,12.7,29.9,24
"12","E","Lütten Klein",10693,58.7,17.4,38.3,12
"13","I","Hansaviertel",5146,56.5,33,22.5,14.9
"14","U","Rostock-Ost",573,25.8,14.9,22.3,21.5
"15","L","Südstadt",8839,59,17,42,11
"16","F","Evershagen",9232,50.2,25.4,30,16.1
"17","R","Dierkow-West",529,25.5,5.9,48.9,16.4
"18","P","Dierkow-Neu",6736,58.2,25.6,15.8,15.8
"19","A","Warnemünde",4799,46.9,6.8,45.1,10.9
"20","B","Rostock-Heide",917,42.2,8.8,31,12.3
"21","J","Gartenstadt-Stadtweide",1289,26.7,14.8,35.2,25.6
