"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14309,2416
"2","K","Kröpeliner-Tor-Vorstadt",19397,6533
"3","Q","Dierkow-Ost",1081,2116
"4","D","Groß Klein",13383,5744
"5","T","Gehlsdorf",4468,907
"6","H","Reutershagen",18080,3151
"7","G","Schmarl",8736,1973
"8","M","Biestow",2781,729
"9","N","Stadtmitte",19779,4251
"10","S","Toitenwinkel",13904,3779
"11","O","Brinckmansdorf",8213,805
"12","E","Lütten Klein",17068,4793
"13","I","Hansaviertel",8432,4313
"14","U","Rostock-Ost",1205,39
"15","L","Südstadt",15035,2688
"16","F","Evershagen",16704,2389
"17","R","Dierkow-West",1149,1138
"18","P","Dierkow-Neu",10916,4917
"19","A","Warnemünde",7955,835
"20","B","Rostock-Heide",1570,30
"21","J","Gartenstadt-Stadtweide",3327,688
