"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14114,2383
"2","K","Kröpeliner-Tor-Vorstadt",19323,6508
"3","Q","Dierkow-Ost",1087,2127
"4","D","Groß Klein",13183,5658
"5","T","Gehlsdorf",4373,888
"6","H","Reutershagen",18117,3157
"7","G","Schmarl",8850,1999
"8","M","Biestow",2784,730
"9","N","Stadtmitte",19566,4205
"10","S","Toitenwinkel",13775,3744
"11","O","Brinckmansdorf",8154,799
"12","E","Lütten Klein",17107,4804
"13","I","Hansaviertel",8467,4331
"14","U","Rostock-Ost",1202,39
"15","L","Südstadt",14786,2643
"16","F","Evershagen",16587,2373
"17","R","Dierkow-West",1156,1145
"18","P","Dierkow-Neu",10658,4801
"19","A","Warnemünde",7860,825
"20","B","Rostock-Heide",1582,30
"21","J","Gartenstadt-Stadtweide",3302,683
