"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14255,2407.5
"2","K","Kröpeliner-Tor-Vorstadt",19438,6547
"3","Q","Dierkow-Ost",1095,2138.7
"4","D","Groß Klein",12903,5537.8
"5","T","Gehlsdorf",4232,858.9
"6","H","Reutershagen",18114,3156.8
"7","G","Schmarl",8412,1899.7
"8","M","Biestow",2844,745.7
"9","N","Stadtmitte",18513,3977
"10","S","Toitenwinkel",13269,3606.7
"11","O","Brinckmansdorf",8165,800
"12","E","Lütten Klein",16983,4769.2
"13","I","Hansaviertel",8509,4352.4
"14","U","Rostock-Ost",1183,38.4
"15","L","Südstadt",14700,2627.8
"16","F","Evershagen",16585,2372.3
"17","R","Dierkow-West",1172,1160.4
"18","P","Dierkow-Neu",10579,4765.3
"19","A","Warnemünde",7864,825.8
"20","B","Rostock-Heide",1563,29.8
"21","J","Gartenstadt-Stadtweide",3295,681.6
