"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14116,2384.1
"2","K","Kröpeliner-Tor-Vorstadt",19421,6541.3
"3","Q","Dierkow-Ost",1106,2160.2
"4","D","Groß Klein",12897,5535.2
"5","T","Gehlsdorf",3973,806.4
"6","H","Reutershagen",18066,3148.5
"7","G","Schmarl",8290,1872.2
"8","M","Biestow",2892,758.3
"9","N","Stadtmitte",18444,3962.2
"10","S","Toitenwinkel",13195,3586.6
"11","O","Brinckmansdorf",8169,800.4
"12","E","Lütten Klein",17011,4777
"13","I","Hansaviertel",8513,4354.5
"14","U","Rostock-Ost",1197,38.8
"15","L","Südstadt",14735,2634.1
"16","F","Evershagen",16530,2364.5
"17","R","Dierkow-West",1184,1172.3
"18","P","Dierkow-Neu",10623,4785.1
"19","A","Warnemünde",7912,830.8
"20","B","Rostock-Heide",1563,29.8
"21","J","Gartenstadt-Stadtweide",3267,675.8
