"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",13467,2274.8
"2","K","Kröpeliner-Tor-Vorstadt",18003,6102.7
"3","Q","Dierkow-Ost",1172,2298
"4","D","Groß Klein",12434,5336.5
"5","T","Gehlsdorf",3621,734.5
"6","H","Reutershagen",18144,3161
"7","G","Schmarl",7570,1708.8
"8","M","Biestow",2997,786.6
"9","N","Stadtmitte",17089,3659.3
"10","S","Toitenwinkel",13007,3534.5
"11","O","Brinckmansdorf",8162,800.2
"12","E","Lütten Klein",17439,4898.6
"13","I","Hansaviertel",8571,4395.4
"14","U","Rostock-Ost",1181,38.3
"15","L","Südstadt",14354,2567.8
"16","F","Evershagen",16056,2297
"17","R","Dierkow-West",1243,1230.7
"18","P","Dierkow-Neu",10470,4716.2
"19","A","Warnemünde",8395,895
"20","B","Rostock-Heide",1600,30.3
"21","J","Gartenstadt-Stadtweide",3331,689.6
