"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14091,2379.8
"2","K","Kröpeliner-Tor-Vorstadt",19154,6451.3
"3","Q","Dierkow-Ost",1092,2132.8
"4","D","Groß Klein",12932,5550.2
"5","T","Gehlsdorf",4321,877
"6","H","Reutershagen",18108,3155.8
"7","G","Schmarl",8616,1945.8
"8","M","Biestow",2817,738.6
"9","N","Stadtmitte",18785,4035.4
"10","S","Toitenwinkel",13409,3644.7
"11","O","Brinckmansdorf",8170,800.5
"12","E","Lütten Klein",16931,4754.6
"13","I","Hansaviertel",8456,4325.3
"14","U","Rostock-Ost",1177,38.2
"15","L","Südstadt",14703,2628.4
"16","F","Evershagen",16571,2370.3
"17","R","Dierkow-West",1146,1134.7
"18","P","Dierkow-Neu",10615,4781.5
"19","A","Warnemünde",7827,821.9
"20","B","Rostock-Heide",1565,29.8
"21","J","Gartenstadt-Stadtweide",3362,695.5
