"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14135,2386
"2","K","Kröpeliner-Tor-Vorstadt",19649,6607
"3","Q","Dierkow-Ost",1042,2039
"4","D","Groß Klein",13384,5873
"5","T","Gehlsdorf",4721,958
"6","H","Reutershagen",17648,3076
"7","G","Schmarl",8745,1976
"8","M","Biestow",2679,702
"9","N","Stadtmitte",20839,4480
"10","S","Toitenwinkel",14419,3917
"11","O","Brinckmansdorf",8394,822
"12","E","Lütten Klein",16973,4765
"13","I","Hansaviertel",8382,4287
"14","U","Rostock-Ost",1244,40
"15","L","Südstadt",14967,2675
"16","F","Evershagen",16878,2415
"17","R","Dierkow-West",1209,1204
"18","P","Dierkow-Neu",11029,4932
"19","A","Warnemünde",8378,875
"20","B","Rostock-Heide",1561,30
"21","J","Gartenstadt-Stadtweide",3201,662
