"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",13578,2293.6
"2","K","Kröpeliner-Tor-Vorstadt",18556,6290.2
"3","Q","Dierkow-Ost",1136,2227.5
"4","D","Groß Klein",12817,5500.9
"5","T","Gehlsdorf",3783,767.3
"6","H","Reutershagen",18203,3171.3
"7","G","Schmarl",7602,1716
"8","M","Biestow",2980,782.2
"9","N","Stadtmitte",17652,3779.9
"10","S","Toitenwinkel",12590,3421.2
"11","O","Brinckmansdorf",8142,798.2
"12","E","Lütten Klein",16728,4698.9
"13","I","Hansaviertel",8606,4413.3
"14","U","Rostock-Ost",1233,40
"15","L","Südstadt",14560,2604.7
"16","F","Evershagen",16368,2341.6
"17","R","Dierkow-West",1223,1210.9
"18","P","Dierkow-Neu",10364,4668.5
"19","A","Warnemünde",8190,873.1
"20","B","Rostock-Heide",1554,29.5
"21","J","Gartenstadt-Stadtweide",3281,679.3
