"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14051,2372
"2","K","Kröpeliner-Tor-Vorstadt",19542,6571
"3","Q","Dierkow-Ost",1032,2020
"4","D","Groß Klein",13429,5892
"5","T","Gehlsdorf",4877,990
"6","H","Reutershagen",17525,3054
"7","G","Schmarl",8716,1969
"8","M","Biestow",2653,695
"9","N","Stadtmitte",21105,4537
"10","S","Toitenwinkel",14687,3990
"11","O","Brinckmansdorf",8406,823
"12","E","Lütten Klein",16775,4709
"13","I","Hansaviertel",8290,4240
"14","U","Rostock-Ost",1263,41
"15","L","Südstadt",14960,2674
"16","F","Evershagen",16906,2419
"17","R","Dierkow-West",1206,1201
"18","P","Dierkow-Neu",10994,4917
"19","A","Warnemünde",8518,890
"20","B","Rostock-Heide",1617,31
"21","J","Gartenstadt-Stadtweide",3203,662
