"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",13553,2301
"2","K","Kröpeliner-Tor-Vorstadt",17687,5975.3
"3","Q","Dierkow-Ost",1191,2335.3
"4","D","Groß Klein",12119,5201.3
"5","T","Gehlsdorf",3539,720.8
"6","H","Reutershagen",18069,3142.4
"7","G","Schmarl",7650,1726.9
"8","M","Biestow",3022,789
"9","N","Stadtmitte",16508,3519.8
"10","S","Toitenwinkel",13201,3597
"11","O","Brinckmansdorf",8052,789.4
"12","E","Lütten Klein",17549,4971.4
"13","I","Hansaviertel",8540,4335
"14","U","Rostock-Ost",1184,38.7
"15","L","Südstadt",14323,2562.3
"16","F","Evershagen",15962,2283.5
"17","R","Dierkow-West",1282,1269.3
"18","P","Dierkow-Neu",10542,4664.6
"19","A","Warnemünde",8441,884.8
"20","B","Rostock-Heide",1621,31
"21","J","Gartenstadt-Stadtweide",3183,657.6
