"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",13506,2281
"2","K","Kröpeliner-Tor-Vorstadt",18873,6382.5
"3","Q","Dierkow-Ost",1126,2199.2
"4","D","Groß Klein",12762,5477.3
"5","T","Gehlsdorf",3815,774.3
"6","H","Reutershagen",18107,3154.5
"7","G","Schmarl",7808,1763.3
"8","M","Biestow",2973,779.5
"9","N","Stadtmitte",17658,3784.4
"10","S","Toitenwinkel",12789,3476.2
"11","O","Brinckmansdorf",8160,799.5
"12","E","Lütten Klein",16643,4673.7
"13","I","Hansaviertel",8644,4421.5
"14","U","Rostock-Ost",1219,39.6
"15","L","Südstadt",14438,2581
"16","F","Evershagen",16293,2331.6
"17","R","Dierkow-West",1227,1214.9
"18","P","Dierkow-Neu",10402,4685.6
"19","A","Warnemünde",8100,850.6
"20","B","Rostock-Heide",1564,29.8
"21","J","Gartenstadt-Stadtweide",3273,677.1
