"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","A","Warnemünde",8512,889
"2","B","Rostock-Heide",1721,33
"3","C","Lichtenhagen",13897,2346
"4","D","Groß Klein",13586,5961
"5","E","Lütten Klein",17079,4795
"6","F","Evershagen",16529,2365
"7","G","Schmarl",9267,2094
"8","H","Reutershagen",17335,3021
"9","I","Hansaviertel",8058,4122
"10","J","Gartenstadt-Stadtweide",3208,663
"11","K","Kröpeliner-Tor-Vorstadt",19211,6460
"12","L","Südstadt",15001,2681
"13","M","Biestow",2616,686
"14","N","Stadtmitte",21279,4574
"15","O","Brinckmansdorf",9146,896
"16","P","Dierkow-Neu",11188,5004
"17","Q","Dierkow-Ost",1010,1977
"18","R","Dierkow-West",1278,1273
"19","S","Toitenwinkel",15400,4184
"20","T","Gehlsdorf",5144,1044
"21","U","Rostock-Ost",1227,40
