"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",13854,2339
"2","K","Kröpeliner-Tor-Vorstadt",19250,6483.7
"3","Q","Dierkow-Ost",1131,2209
"4","D","Groß Klein",12920,5545.1
"5","T","Gehlsdorf",3874,786.3
"6","H","Reutershagen",17901,3119.7
"7","G","Schmarl",8203,1852.5
"8","M","Biestow",2918,765.1
"9","N","Stadtmitte",18101,3888.5
"10","S","Toitenwinkel",13239,3598.5
"11","O","Brinckmansdorf",8231,806.5
"12","E","Lütten Klein",17000,4773.9
"13","I","Hansaviertel",8593,4395.4
"14","U","Rostock-Ost",1209,39.2
"15","L","Südstadt",14515,2594.7
"16","F","Evershagen",16616,2376.8
"17","R","Dierkow-West",1192,1180.2
"18","P","Dierkow-Neu",10552,4753.2
"19","A","Warnemünde",7951,835.3
"20","B","Rostock-Heide",1567,29.9
"21","J","Gartenstadt-Stadtweide",3314,685.6
