"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14338,2421
"2","K","Kröpeliner-Tor-Vorstadt",19342,6515
"3","Q","Dierkow-Ost",1058,2070
"4","D","Groß Klein",13509,5798
"5","T","Gehlsdorf",4662,946
"6","H","Reutershagen",17978,3133
"7","G","Schmarl",8756,1976
"8","M","Biestow",2753,721
"9","N","Stadtmitte",19986,4296
"10","S","Toitenwinkel",14010,3806
"11","O","Brinckmansdorf",8317,815
"12","E","Lütten Klein",17234,4838
"13","I","Hansaviertel",8465,4330
"14","U","Rostock-Ost",1184,38
"15","L","Südstadt",14998,2681
"16","F","Evershagen",16847,2411
"17","R","Dierkow-West",1141,1136
"18","P","Dierkow-Neu",10916,4904
"19","A","Warnemünde",8105,851
"20","B","Rostock-Heide",1605,31
"21","J","Gartenstadt-Stadtweide",3312,685
