"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","C","Lichtenhagen",14125,2385
"2","K","Kröpeliner-Tor-Vorstadt",19570,6580
"3","Q","Dierkow-Ost",1039,2033
"4","D","Groß Klein",13557,5949
"5","T","Gehlsdorf",4615,936
"6","H","Reutershagen",17830,3107
"7","G","Schmarl",8787,1985
"8","M","Biestow",2736,717
"9","N","Stadtmitte",20593,4427
"10","S","Toitenwinkel",14009,3806
"11","O","Brinckmansdorf",8322,815
"12","E","Lütten Klein",17091,4798
"13","I","Hansaviertel",8391,4292
"14","U","Rostock-Ost",1217,39
"15","L","Südstadt",14941,2670
"16","F","Evershagen",16989,2431
"17","R","Dierkow-West",1206,1201
"18","P","Dierkow-Neu",10926,4886
"19","A","Warnemünde",8274,864
"20","B","Rostock-Heide",1568,30
"21","J","Gartenstadt-Stadtweide",3299,682
