"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",-84,-0.6,-6
"2","K","Kröpeliner-Tor-Vorstadt",-107,-0.5,-5.5
"3","Q","Dierkow-Ost",-10,-1,-9.7
"4","D","Groß Klein",45,0.3,3.4
"5","T","Gehlsdorf",156,3.3,32
"6","H","Reutershagen",-123,-0.7,-7
"7","G","Schmarl",-29,-0.3,-3.3
"8","M","Biestow",-26,-1,-9.8
"9","N","Stadtmitte",266,1.3,12.6
"10","S","Toitenwinkel",268,1.9,18.2
"11","O","Brinckmansdorf",12,0.1,1.4
"12","E","Lütten Klein",-198,-1.2,-11.8
"13","I","Hansaviertel",-92,-1.1,-11.1
"14","U","Rostock-Ost",19,1.5,15
"15","L","Südstadt",-7,0,-0.5
"16","F","Evershagen",28,0.2,1.7
"17","R","Dierkow-West",-3,-0.2,-2.5
"18","P","Dierkow-Neu",-35,-0.3,-3.2
"19","A","Warnemünde",140,1.7,16.4
"20","B","Rostock-Heide",56,3.6,34.6
"21","J","Gartenstadt-Stadtweide",2,0.1,0.6
