"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",-213,-1.5,-14.9
"2","K","Kröpeliner-Tor-Vorstadt",228,1.2,11.8
"3","Q","Dierkow-Ost",-19,-1.8,-18
"4","D","Groß Klein",48,0.4,3.6
"5","T","Gehlsdorf",-47,-1,-10.1
"6","H","Reutershagen",-148,-0.8,-8.2
"7","G","Schmarl",31,0.4,3.5
"8","M","Biestow",-17,-0.6,-6.2
"9","N","Stadtmitte",607,3,30.4
"10","S","Toitenwinkel",-1,0,-0.1
"11","O","Brinckmansdorf",5,0.1,0.6
"12","E","Lütten Klein",-143,-0.8,-8.3
"13","I","Hansaviertel",-74,-0.9,-8.7
"14","U","Rostock-Ost",33,2.8,27.9
"15","L","Südstadt",-57,-0.4,-3.8
"16","F","Evershagen",142,0.8,8.4
"17","R","Dierkow-West",65,5.7,57
"18","P","Dierkow-Neu",10,0.1,0.9
"19","A","Warnemünde",169,2.1,20.9
"20","B","Rostock-Heide",-37,-2.3,-23.1
"21","J","Gartenstadt-Stadtweide",-13,-0.4,-3.9
