"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",29,0.2,2
"2","K","Kröpeliner-Tor-Vorstadt",-55,-0.3,-2.8
"3","Q","Dierkow-Ost",-23,-2.1,-21.3
"4","D","Groß Klein",126,0.9,9.4
"5","T","Gehlsdorf",194,4.3,43.4
"6","H","Reutershagen",-102,-0.6,-5.6
"7","G","Schmarl",20,0.2,2.3
"8","M","Biestow",-28,-1,-10.1
"9","N","Stadtmitte",207,1,10.5
"10","S","Toitenwinkel",106,0.8,7.6
"11","O","Brinckmansdorf",104,1.3,12.7
"12","E","Lütten Klein",166,1,9.7
"13","I","Hansaviertel",33,0.4,3.9
"14","U","Rostock-Ost",-21,-1.7,-17.4
"15","L","Südstadt",-37,-0.2,-2.5
"16","F","Evershagen",143,0.9,8.6
"17","R","Dierkow-West",-8,-0.7,-7
"18","P","Dierkow-Neu",0,0,0
"19","A","Warnemünde",150,1.9,18.9
"20","B","Rostock-Heide",35,2.2,22.3
"21","J","Gartenstadt-Stadtweide",-15,-0.5,-4.5
