"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","A","Warnemünde",-54,-0.6,-6.4
"2","B","Rostock-Heide",50,3.1,30
"3","C","Lichtenhagen",-133,-0.9,-9.6
"4","D","Groß Klein",98,0.7,7.2
"5","E","Lütten Klein",-200,-1.2,-12.1
"6","F","Evershagen",-290,-1.7,-17.5
"7","G","Schmarl",-96,-1.1,-11.1
"8","H","Reutershagen",-164,-0.9,-9.4
"9","I","Hansaviertel",-94,-1.1,-11.5
"10","J","Gartenstadt-Stadtweide",22,0.7,6.8
"11","K","Kröpeliner-Tor-Vorstadt",-222,-1.1,-11.5
"12","L","Südstadt",2,0,0.1
"13","M","Biestow",-54,-2,-20.8
"14","N","Stadtmitte",-102,-0.5,-4.9
"15","O","Brinckmansdorf",270,3.2,31.1
"16","P","Dierkow-Neu",-83,-0.8,-7.6
"17","Q","Dierkow-Ost",-6,-0.6,-5.8
"18","R","Dierkow-West",-11,-0.9,-9.2
"19","S","Toitenwinkel",399,2.7,26.4
"20","T","Gehlsdorf",223,4.6,43.7
"21","U","Rostock-Ost",-37,-2.9,-30.2
