"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",23,0.2,1.6
"2","K","Kröpeliner-Tor-Vorstadt",169,0.9,8.7
"3","Q","Dierkow-Ost",-5,-0.5,-4.6
"4","D","Groß Klein",251,1.9,19
"5","T","Gehlsdorf",52,1.2,11.9
"6","H","Reutershagen",9,0,0.5
"7","G","Schmarl",234,2.7,26.4
"8","M","Biestow",-33,-1.2,-11.9
"9","N","Stadtmitte",781,4.2,39.9
"10","S","Toitenwinkel",366,2.7,26.6
"11","O","Brinckmansdorf",-16,-0.2,-2
"12","E","Lütten Klein",176,1,10.3
"13","I","Hansaviertel",11,0.1,1.3
"14","U","Rostock-Ost",25,2.1,20.8
"15","L","Südstadt",83,0.6,5.6
"16","F","Evershagen",16,0.1,1
"17","R","Dierkow-West",10,0.9,8.7
"18","P","Dierkow-Neu",43,0.4,4
"19","A","Warnemünde",33,0.4,4.2
"20","B","Rostock-Heide",17,1.1,10.7
"21","J","Gartenstadt-Stadtweide",-60,-1.8,-18.2
