"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",10,0.1,0.7
"2","K","Kröpeliner-Tor-Vorstadt",79,0.4,4
"3","Q","Dierkow-Ost",3,0.3,2.9
"4","D","Groß Klein",-173,-1.3,-12.9
"5","T","Gehlsdorf",106,2.3,22.5
"6","H","Reutershagen",-182,-1,-10.3
"7","G","Schmarl",-42,-0.5,-4.8
"8","M","Biestow",-57,-2.1,-21.3
"9","N","Stadtmitte",246,1.2,11.8
"10","S","Toitenwinkel",410,2.9,28.4
"11","O","Brinckmansdorf",72,0.9,8.6
"12","E","Lütten Klein",-118,-0.7,-7
"13","I","Hansaviertel",-9,-0.1,-1.1
"14","U","Rostock-Ost",27,2.2,21.7
"15","L","Südstadt",26,0.2,1.7
"16","F","Evershagen",-111,-0.7,-6.6
"17","R","Dierkow-West",3,0.2,2.5
"18","P","Dierkow-Neu",103,0.9,9.3
"19","A","Warnemünde",104,1.3,12.4
"20","B","Rostock-Heide",-7,-0.4,-4.5
"21","J","Gartenstadt-Stadtweide",-98,-3,-30.6
