"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",85,0.6,6.3
"2","K","Kröpeliner-Tor-Vorstadt",180,1,9.4
"3","Q","Dierkow-Ost",-5,-0.4,-4.5
"4","D","Groß Klein",46,0.4,3.6
"5","T","Gehlsdorf",26,0.7,6.8
"6","H","Reutershagen",-20,-0.1,-1.1
"7","G","Schmarl",249,3.2,30.9
"8","M","Biestow",-32,-1.1,-10.9
"9","N","Stadtmitte",277,1.6,15.4
"10","S","Toitenwinkel",196,1.5,15.1
"11","O","Brinckmansdorf",5,0.1,0.6
"12","E","Lütten Klein",187,1.1,11.1
"13","I","Hansaviertel",-41,-0.5,-4.8
"14","U","Rostock-Ost",-9,-0.7,-7.4
"15","L","Südstadt",31,0.2,2.1
"16","F","Evershagen",44,0.3,2.7
"17","R","Dierkow-West",-9,-0.7,-7.4
"18","P","Dierkow-Neu",97,0.9,9.2
"19","A","Warnemünde",-114,-1.4,-14.3
"20","B","Rostock-Heide",-1,-0.1,-0.6
"21","J","Gartenstadt-Stadtweide",49,1.5,14.8
