"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",263,1.9,19
"2","K","Kröpeliner-Tor-Vorstadt",197,1,10.2
"3","Q","Dierkow-Ost",10,0.9,8.8
"4","D","Groß Klein",112,0.9,8.7
"5","T","Gehlsdorf",33,0.9,8.5
"6","H","Reutershagen",-186,-1,-10.4
"7","G","Schmarl",146,1.8,17.8
"8","M","Biestow",-23,-0.8,-7.9
"9","N","Stadtmitte",166,0.9,9.2
"10","S","Toitenwinkel",254,2,19.2
"11","O","Brinckmansdorf",66,0.8,8
"12","E","Lütten Klein",170,1,10
"13","I","Hansaviertel",-10,-0.1,-1.2
"14","U","Rostock-Ost",-1,-0.1,-0.8
"15","L","Südstadt",46,0.3,3.2
"16","F","Evershagen",279,1.7,16.8
"17","R","Dierkow-West",-26,-2.1,-21.8
"18","P","Dierkow-Neu",53,0.5,5
"19","A","Warnemünde",-35,-0.4,-4.4
"20","B","Rostock-Heide",4,0.3,2.6
"21","J","Gartenstadt-Stadtweide",-8,-0.2,-2.4
