"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","A","Warnemünde",17,0.2,2
"2","B","Rostock-Heide",123,7.6,70.7
"3","C","Lichtenhagen",-122,-0.9,-8.8
"4","D","Groß Klein",107,0.8,7.9
"5","E","Lütten Klein",-141,-0.8,-8.5
"6","F","Evershagen",-174,-1,-10.4
"7","G","Schmarl",156,1.8,17.6
"8","H","Reutershagen",-225,-1.3,-13
"9","I","Hansaviertel",-214,-2.6,-26.5
"10","J","Gartenstadt-Stadtweide",66,2.1,20.2
"11","K","Kröpeliner-Tor-Vorstadt",-282,-1.4,-14.6
"12","L","Südstadt",146,1,9.7
"13","M","Biestow",-72,-2.7,-27.9
"14","N","Stadtmitte",183,0.9,8.6
"15","O","Brinckmansdorf",579,6.9,64.4
"16","P","Dierkow-Neu",-74,-0.7,-6.8
"17","Q","Dierkow-Ost",-12,-1.2,-11.8
"18","R","Dierkow-West",13,1.1,10.7
"19","S","Toitenwinkel",688,4.7,44.7
"20","T","Gehlsdorf",323,6.6,62.1
"21","U","Rostock-Ost",-38,-3,-31
