"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",34,0.3,2.5
"2","K","Kröpeliner-Tor-Vorstadt",132,0.7,7.1
"3","Q","Dierkow-Ost",-19,-1.6,-16.7
"4","D","Groß Klein",54,0.4,4.2
"5","T","Gehlsdorf",122,3.3,32.2
"6","H","Reutershagen",-48,-0.3,-2.6
"7","G","Schmarl",59,0.8,7.8
"8","M","Biestow",-20,-0.7,-6.7
"9","N","Stadtmitte",480,2.8,27.2
"10","S","Toitenwinkel",-240,-1.9,-19.1
"11","O","Brinckmansdorf",-68,-0.8,-8.4
"12","E","Lütten Klein",-388,-2.3,-23.2
"13","I","Hansaviertel",-68,-0.8,-7.9
"14","U","Rostock-Ost",21,1.7,17
"15","L","Südstadt",97,0.7,6.7
"16","F","Evershagen",133,0.8,8.1
"17","R","Dierkow-West",-25,-2,-20.4
"18","P","Dierkow-Neu",95,0.9,9.2
"19","A","Warnemünde",-149,-1.8,-18.2
"20","B","Rostock-Heide",-57,-3.5,-36.7
"21","J","Gartenstadt-Stadtweide",7,0.2,2.1
