"","year","dataset","link"
"128",2019,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2019/bevoelkerungsstruktur_2019_haushaltsstruktur.csv"
"129",2020,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2020/bevoelkerungsstruktur_2020_insgesamt.csv"
"130",2020,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2020/bevoelkerungsstruktur_2020_alter.csv"
"131",2020,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2020/bevoelkerungsstruktur_2020_familienstand.csv"
"132",2020,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2020/bevoelkerungsstruktur_2020_geschlecht.csv"
"133",2020,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2020/bevoelkerungsstruktur_2020_staatsangehoerigkeit.csv"
"134",2020,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2020/bevoelkerungsstruktur_2020_bewegung_gesamt.csv"
"135",2020,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2020/bevoelkerungsstruktur_2020_haushaltsstruktur.csv"
"136",2021,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2021/bevoelkerungsstruktur_2021_insgesamt.csv"
"137",2021,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2021/bevoelkerungsstruktur_2021_alter.csv"
"138",2021,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2021/bevoelkerungsstruktur_2021_familienstand.csv"
"139",2021,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2021/bevoelkerungsstruktur_2021_geschlecht.csv"
"140",2021,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2021/bevoelkerungsstruktur_2021_staatsangehoerigkeit.csv"
"141",2021,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2021/bevoelkerungsstruktur_2021_bewegung_gesamt.csv"
"142",2021,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2021/bevoelkerungsstruktur_2021_haushaltsstruktur.csv"
"143",2022,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2022/bevoelkerungsstruktur_2022_insgesamt.csv"
"144",2022,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2022/bevoelkerungsstruktur_2022_alter.csv"
"145",2022,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2022/bevoelkerungsstruktur_2022_familienstand.csv"
"146",2022,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2022/bevoelkerungsstruktur_2022_geschlecht.csv"
"147",2022,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2022/bevoelkerungsstruktur_2022_staatsangehoerigkeit.csv"
"148",2022,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2022/bevoelkerungsstruktur_2022_bewegung_gesamt.csv"
"149",2022,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2022/bevoelkerungsstruktur_2022_haushaltsstruktur.csv"
"150",2023,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2023/bevoelkerungsstruktur_2023_insgesamt.csv"
"151",2023,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2023/bevoelkerungsstruktur_2023_alter.csv"
"152",2023,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2023/bevoelkerungsstruktur_2023_familienstand.csv"
"153",2023,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2023/bevoelkerungsstruktur_2023_geschlecht.csv"
"154",2023,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2023/bevoelkerungsstruktur_2023_staatsangehoerigkeit.csv"
"155",2023,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2023/bevoelkerungsstruktur_2023_bewegung_gesamt.csv"
"156",2023,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2023/bevoelkerungsstruktur_2023_haushaltsstruktur.csv"
